county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
KISUMU EAST,"61,499",1.0,16.9,26.2,0.8,25.5,29.6,0.0,0.0
KISUMU CENTRAL,"52,163",1.8,14.6,47.0,1.2,2.7,32.7,0.0,0.0
KISUMU WEST,"42,785",0.8,6.8,16.1,0.3,55.1,20.9,0.1,0.0
SEME,"29,404",0.4,1.0,3.1,0.4,82.9,12.0,0.2,0.0
MUHORONI,"36,982",0.6,2.0,6.0,0.3,71.5,19.1,0.3,0.0
NYANDO,"38,460",0.6,2.5,8.1,0.4,72.0,16.1,0.3,0.0
NYAKACH,"35,553",0.5,1.2,5.0,0.3,79.0,13.6,0.3,0.0
HOMA BAY,"260,290",0.4,1.4,6.2,0.4,74.3,17.0,0.3,0.0
HOMA BAY,"28,471",0.8,2.1,16.7,0.5,49.3,30.4,0.1,0.0
NDHIWA,"47,956",0.2,0.8,2.9,0.3,84.7,10.6,0.5,0.0
RACHUONYO NORTH,"41,661",0.2,1.4,5.1,0.4,80.1,12.6,0.3,0.0
RACHUONYO EAST,"27,229",0.4,0.6,4.1,0.3,84.7,9.7,0.2,0.0
RACHUONYO SOUTH,"30,693",0.4,1.5,9.1,0.5,69.4,19.0,0.2,0.0
RANGWE,"26,983",0.5,0.8,4.1,0.4,85.2,8.6,0.5,0.0
SUBA NORTH,"29,662",0.4,3.3,6.4,0.5,63.8,25.3,0.3,0.0
SUBA SOUTH,"27,635",0.4,1.1,3.1,0.4,69.2,25.3,0.5,0.0
MIGORI,"238,133",0.6,1.3,6.8,0.5,71.3,19.2,0.3,0.0
AWENDO,"27,014",1.6,1.5,6.4,0.5,72.2,17.5,0.1,0.0
KURIA EAST,"17,267",0.3,1.0,2.5,0.7,87.2,8.0,0.3,0.0
KURIA WEST,"39,723",0.7,1.7,6.7,0.6,67.6,22.3,0.3,0.0
NYATIKE,"39,358",0.2,0.8,3.0,0.3,72.5,23.0,0.1,0.0
RONGO,"29,007",0.7,2.5,12.6,0.8,67.4,15.5,0.5,0.0
SUNA EAST,"27,214",0.5,1.2,11.9,0.4,65.4,20.3,0.2,0.1
SUNA WEST,"28,839",0.7,1.1,7.8,0.5,58.6,30.7,0.6,0.0
URIRI,"29,711",0.2,0.7,3.3,0.2,86.0,9.2,0.3,0.0
KISII,"307,254",0.8,2.2,13.5,0.5,77.8,5.1,0.2,0.0
ETAGO,"18,610",0.1,1.4,3.2,0.4,93.0,1.6,0.3,0.0
GUCHA,"19,621",0.9,1.8,9.0,0.6,82.2,5.2,0.4,0.0
GUCHA SOUTH,"19,627",0.6,2.1,8.3,0.4,86.1,2.2,0.3,0.0
KENYENYA,"30,985",0.9,2.1,5.9,0.5,85.2,5.1,0.3,0.0
KISII CENTRAL,"44,037",0.9,3.3,30.3,0.5,57.3,7.6,0.1,0.0
KISII SOUTH,"31,574",1.1,1.6,11.5,0.5,81.3,3.8,0.1,0.0
KITUTU CENTRAL,"41,233",1.0,4.5,32.1,0.7,51.5,10.2,0.0,0.0
MARANI,"26,133",0.4,1.0,3.6,0.1,92.4,2.2,0.1,0.0
MASABA SOUTH,"29,206",0.4,1.0,6.3,0.3,87.4,4.5,0.1,0.0
NYAMACHE,"30,583",1.2,1.9,4.9,0.3,87.5,3.9,0.3,0.0
SAMETA,"15,645",0.6,1.3,6.8,0.4,87.7,3.0,0.2,0.0
NYAMIRA,"150,499",1.2,1.9,8.6,0.3,84.3,3.5,0.1,0.0
BORABU,"19,404",1.3,2.4,10.5,0.4,80.0,5.2,0.1,0.0
MANGA,"23,836",1.2,1.5,9.4,0.3,83.9,3.5,0.2,0.0
MASABA NORTH,"27,904",1.2,1.5,8.3,0.3,84.5,4.2,0.1,0.0
NYAMIRA NORTH,"40,396",0.8,1.5,5.6,0.2,89.5,2.2,0.1,0.0
NYAMIRA SOUTH,"38,959",1.5,2.4,10.7,0.4,81.2,3.6,0.1,0.0
NAIROBI CITY,"1,494,676",2.3,26.5,67.2,0.6,0.7,2.7,0.0,0.1
